"","name","code","region","electricity","agland","co2","methane","air_poll","ghg"
"1","Argentina","ARG","Latin America & Caribbean",98.82,53.89028352,187919.082,86741.6,14.2241786,364684.2538
"2","Bahamas, The","BHS","Latin America & Caribbean",99.56098938,1.498501499,1653.817,222.181,12.31265712,4570.357553
"3","Belize","BLZ","Latin America & Caribbean",89.91722437,6.882946076,539.049,224.011,21.02007611,1498.87845
"4","Bermuda","BMU","North America",100,6,608.722,30.3529,9.451374,594.6515718
"5","Bolivia","BOL","Latin America & Caribbean",84.29481506,34.63121942,15203.382,22775.9,28.61932141,102900.5156
"6","Brazil","BRA","Latin America & Caribbean",98.88305664,32.71816457,419754.156,443289,10.964792,2902242.618
"7","Canada","CAN","North America",100,6.957555443,534670.602,104529,7.267054292,764137.6753
"8","Chile","CHL","Latin America & Caribbean",99.38864136,21.1732649,72250.901,18020.1,21.31991697,114284.9966
"9","Colombia","COL","Latin America & Caribbean",96.788995,38.30824696,76174.591,66646,16.68991058,166695.8669
"10","Costa Rica","CRI","Latin America & Caribbean",98.995734,35.62475519,7568.688,2269.13,14.434751,11684.5675
"11","Cuba","CUB","Latin America & Caribbean",99.96389771,60.70274333,38375.155,8392.08,15.47623754,49782.5314
"12","Dominica","DMA","Latin America & Caribbean",94.84715271,33.33333333,139.346,39.8197,14.1285238,211.3141846
"13","Dominican Republic","DOM","Latin America & Caribbean",98.145414,49.61705651,21022.911,6726.43,21.13667286,31668.70772
"14","Ecuador","ECU","Latin America & Caribbean",97.462142,30.18883878,36460.981,15476.8,14.25791705,50320.69803
"15","El Salvador","SLV","Latin America & Caribbean",91.580238,74.08301158,6457.587,2972.67,31.39233355,11978.85339
"16","Grenada","GRD","Latin America & Caribbean",89.57085419,23.52941176,260.357,35.9581,13.80401364,682.6576921
"17","Guatemala","GTM","Latin America & Caribbean",84.20420837,36.97349757,11664.727,6742.52,28.8113768,30327.54698
"18","Guyana","GUY","Latin America & Caribbean",80.25813293,8.524257049,1719.823,2082.36,15.11364962,5937.294211
"19","Haiti","HTI","Latin America & Caribbean",35.93851852,67.85195936,2126.86,4497.27,22.58133699,8545.167808
"20","Honduras","HND","Latin America & Caribbean",80.984668,28.86763786,7975.725,5729.65,32.04558647,19663.71562
"21","Jamaica","JAM","Latin America & Caribbean",92.7145462,40.99722992,7297.33,1290.64,13.66214002,14581.6781
"22","Mexico","MEX","Latin America & Caribbean",99.236696,54.89081509,464308.206,115869,20.24498259,643375.4336
"23","Nicaragua","NIC","Latin America & Caribbean",78.05745697,41.76499917,4536.079,6364.58,22.88148446,15794.34981
"24","Panama","PAN","Latin America & Caribbean",86.85,30.48681733,9163.833,3311.55,10.2142522,15428.76051
"25","Paraguay","PRY","Latin America & Caribbean",97.43086,53.43569091,5097.13,15927.2,17.71086925,50027.503
"26","Peru","PER","Latin America & Caribbean",88.123061,18.76796875,57593.902,18942.6,27.80849693,71614.29402
"27","St. Lucia","LCA","Latin America & Caribbean",94.2,17.37704918,403.37,42.8591,14.11346282,563.9158825
"28","St. Vincent and the Grenadines","VCT","Latin America & Caribbean",93.22228241,25.64102564,220.02,39.0831,13.87385095,301.5628538
"29","Trinidad and Tobago","TTO","Latin America & Caribbean",99.29836273,10.52631579,47935.024,14498.6,12.25632322,58068.7624
"30","United States","USA","North America",100,44.64933282,5395532.125,524709,8.616733017,6713348.969
"31","Uruguay","URY","Latin America & Caribbean",98.98948669,82.46486116,6387.914,19165.3,11.80236181,33285.19663
"32","Venezuela, RB","VEN","Latin America & Caribbean",98.80784607,24.48840769,189070.52,57057.7,22.70342429,268746.1951
